Read when charge was around 93%


Register 0 raw value: 0 | 0x0
Register 1 raw value: 1 | 0x1
Register 2 raw value: 0 | 0x0
Register 3 raw value: 0 | 0x0
Register 4 raw value: 0 | 0x0
Register 5 raw value: 0 | 0x0
Register 6 raw value: 0 | 0x0
Register 7 raw value: 0 | 0x0
Register 8 raw value: 0 | 0x0
Register 9 raw value: 12593 | 0x3131
Register 10 raw value: 13102 | 0x332e
Register 11 raw value: 12337 | 0x3031
Register 12 raw value: 12593 | 0x3131
Register 13 raw value: 13358 | 0x342e
Register 14 raw value: 12337 | 0x3031
Register 15 raw value: 0 | 0x0
Register 16 raw value: 0 | 0x0
Register 17 raw value: 0 | 0x0
Register 18 raw value: 1 | 0x1
Register 19 raw value: 0 | 0x0
Register 20 raw value: 1 | 0x1
Register 21 raw value: 1 | 0x1
Register 22 raw value: 1 | 0x1
Register 23 raw value: 19265 | 0x4b41
Register 24 raw value: 19762 | 0x4d32
Register 25 raw value: 17475 | 0x4443
Register 26 raw value: 17200 | 0x4330
Register 27 raw value: 22576 | 0x5830
Register 28 raw value: 1 | 0x1
Register 29 raw value: 50 | 0x32
Register 30 raw value: 1 | 0x1
Register 31 raw value: 256 | 0x100
Register 32 raw value: 0 | 0x0
Register 33 raw value: 0 | 0x0
Register 34 raw value: 190 | 0xbe
Register 35 raw value: 518 | 0x206
Register 36 raw value: 518 | 0x206
Register 37 raw value: 500 | 0x1f4
Register 38 raw value: 20 | 0x14
Register 39 raw value: 3 | 0x3
Register 40 raw value: 0 | 0x0
Register 41 raw value: 65532 | 0xfffc
Register 42 raw value: 1 | 0x1
Register 43 raw value: 20105 | 0x4e89
Register 44 raw value: 0 | 0x0
Register 45 raw value: 2025 | 0x7e9
Register 46 raw value: 9 | 0x9
Register 47 raw value: 22 | 0x16
Register 48 raw value: 18 | 0x12
Register 49 raw value: 21 | 0x15
Register 50 raw value: 58 | 0x3a
Register 51 raw value: 0 | 0x0
Register 52 raw value: 0 | 0x0
Register 53 raw value: 0 | 0x0
Register 54 raw value: 4326 | 0x10e6
Register 55 raw value: 2297 | 0x8f9
Register 56 raw value: 4 | 0x4
Register 57 raw value: 11193 | 0x2bb9
Register 58 raw value: 7 | 0x7
Register 59 raw value: 0 | 0x0
Register 60 raw value: 0 | 0x0
Register 61 raw value: 0 | 0x0
Register 62 raw value: 0 | 0x0
Register 63 raw value: 0 | 0x0
Register 64 raw value: 0 | 0x0
Register 65 raw value: 0 | 0x0
Register 66 raw value: 0 | 0x0
Register 67 raw value: 11301 | 0x2c25
Register 68 raw value: 12051 | 0x2f13
Register 69 raw value: 11401 | 0x2c89
Register 70 raw value: 12051 | 0x2f13
Register 71 raw value: 0 | 0x0
Register 72 raw value: 0 | 0x0
Register 73 raw value: 0 | 0x0
Register 74 raw value: 65535 | 0xffff
Register 75 raw value: 0 | 0x0
Register 76 raw value: 0 | 0x0
Register 77 raw value: 50000 | 0xc350
Register 78 raw value: 0 | 0x0
Register 79 raw value: 50000 | 0xc350
Register 80 raw value: 5603 | 0x15e3
Register 81 raw value: 65535 | 0xffff
Register 82 raw value: 200 | 0xc8
Register 83 raw value: 65535 | 0xffff
Register 84 raw value: 2300 | 0x8fc
Register 85 raw value: 500 | 0x1f4
Register 86 raw value: 480 | 0x1e0
Register 87 raw value: 600 | 0x258
Register 88 raw value: 300 | 0x12c
Register 89 raw value: 2300 | 0x8fc
Register 90 raw value: 500 | 0x1f4
Register 91 raw value: 5000 | 0x1388
Register 92 raw value: 4 | 0x4
Register 93 raw value: 20 | 0x14
Register 94 raw value: 420 | 0x1a4
Register 95 raw value: 950 | 0x3b6
Register 96 raw value: 0 | 0x0
Register 97 raw value: 1 | 0x1
Register 98 raw value: 1 | 0x1
Register 99 raw value: 0 | 0x0
Register 100 raw value: 0 | 0x0
Register 101 raw value: 0 | 0x0
Register 102 raw value: 0 | 0x0
Register 103 raw value: 0 | 0x0
Register 104 raw value: 1 | 0x1
Register 105 raw value: 190 | 0xbe
Register 106 raw value: 52 | 0x34
Register 107 raw value: 1 | 0x1
Register 108 raw value: 0 | 0x0
Register 109 raw value: 12 | 0xc
Register 110 raw value: 1566 | 0x61e
Register 111 raw value: 0 | 0x0
Register 112 raw value: 0 | 0x0
Register 113 raw value: 1130 | 0x46a
Register 114 raw value: 0 | 0x0
Register 115 raw value: 0 | 0x0
Register 116 raw value: 22 | 0x16
Register 117 raw value: 0 | 0x0
Register 118 raw value: 0 | 0x0
Register 119 raw value: 210 | 0xd2
Register 120 raw value: 0 | 0x0
Register 121 raw value: 500 | 0x1f4
Register 122 raw value: 0 | 0x0
Register 123 raw value: 0 | 0x0
Register 124 raw value: 0 | 0x0
Register 125 raw value: 0 | 0x0
Register 126 raw value: 4991 | 0x137f
Register 127 raw value: 93 | 0x5d
Register 128 raw value: 4041 | 0xfc9
Register 129 raw value: 0 | 0x0
Register 130 raw value: 0 | 0x0
Register 131 raw value: 2300 | 0x8fc
Register 132 raw value: 5000 | 0x1388
Register 133 raw value: 0 | 0x0
Register 134 raw value: 295 | 0x127
Register 135 raw value: 234 | 0xea
Register 136 raw value: 4 | 0x4
Register 137 raw value: 0 | 0x0
Register 138 raw value: 0 | 0x0
Register 139 raw value: 0 | 0x0
Register 140 raw value: 0 | 0x0
Register 141 raw value: 287 | 0x11f
Register 142 raw value: 296 | 0x128
Register 143 raw value: 2 | 0x2
Register 144 raw value: 16 | 0x10
Register 145 raw value: 0 | 0x0
Register 146 raw value: 0 | 0x0
Register 147 raw value: 0 | 0x0
Register 148 raw value: 0 | 0x0
Register 149 raw value: 0 | 0x0
Register 150 raw value: 0 | 0x0
Register 151 raw value: 0 | 0x0
Register 152 raw value: 0 | 0x0
Register 153 raw value: 20105 | 0x4e89
Register 154 raw value: 0 | 0x0
Register 155 raw value: 0 | 0x0
Register 156 raw value: 0 | 0x0
Register 157 raw value: 0 | 0x0
Register 158 raw value: 145 | 0x91
Register 159 raw value: 0 | 0x0
Register 160 raw value: 24825 | 0x60f9
Register 161 raw value: 0 | 0x0
Register 162 raw value: 0 | 0x0
Register 163 raw value: 0 | 0x0
Register 164 raw value: 0 | 0x0
Register 165 raw value: 0 | 0x0
Register 166 raw value: 0 | 0x0
Register 167 raw value: 0 | 0x0
Register 168 raw value: 0 | 0x0
Register 169 raw value: 0 | 0x0
Register 170 raw value: 25 | 0x19
Register 171 raw value: 0 | 0x0
Register 172 raw value: 3843 | 0xf03
Register 173 raw value: 0 | 0x0
Register 174 raw value: 0 | 0x0
Register 175 raw value: 0 | 0x0
Register 176 raw value: 0 | 0x0
Register 177 raw value: 0 | 0x0
Register 178 raw value: 0 | 0x0
Register 179 raw value: 210 | 0xd2
Register 180 raw value: 0 | 0x0
Register 181 raw value: 500 | 0x1f4
Register 182 raw value: 0 | 0x0
Register 183 raw value: 0 | 0x0
Register 184 raw value: 0 | 0x0
Register 185 raw value: 0 | 0x0
Register 186 raw value: 65535 | 0xffff
Register 187 raw value: 65096 | 0xfe48
Register 188 raw value: 0 | 0x0
Register 189 raw value: 0 | 0x0
Register 190 raw value: 0 | 0x0
Register 191 raw value: 23 | 0x17
Register 192 raw value: 8 | 0x8
Register 193 raw value: 0 | 0x0
Register 194 raw value: 0 | 0x0
Register 195 raw value: 88 | 0x58
Register 196 raw value: 0 | 0x0
Register 197 raw value: 173 | 0xad
Register 198 raw value: 0 | 0x0
Register 199 raw value: 10 | 0xa
Register 200 raw value: 1 | 0x1
Register 201 raw value: 4326 | 0x10e6
Register 202 raw value: 0 | 0x0
Register 203 raw value: 0 | 0x0
Register 204 raw value: 4944 | 0x1350
Register 205 raw value: 4018 | 0xfb2
Register 206 raw value: 1639 | 0x667
Register 207 raw value: 2297 | 0x8f9
Register 208 raw value: 5000 | 0x1388
Register 209 raw value: 862 | 0x35e
Register 210 raw value: 355 | 0x163
Register 211 raw value: 2203 | 0x89b
Register 212 raw value: 393 | 0x189
Register 213 raw value: 4 | 0x4
Register 214 raw value: 482 | 0x1e2
Register 215 raw value: 377 | 0x179
Register 216 raw value: 418 | 0x1a2
Register 217 raw value: 0 | 0x0
Register 218 raw value: 0 | 0x0
Register 219 raw value: 0 | 0x0
Register 220 raw value: 0 | 0x0
Register 221 raw value: 0 | 0x0
Register 222 raw value: 0 | 0x0
Register 223 raw value: 0 | 0x0
Register 224 raw value: 0 | 0x0
Register 225 raw value: 0 | 0x0
Register 226 raw value: 0 | 0x0
Register 227 raw value: 0 | 0x0
Register 228 raw value: 0 | 0x0
Register 229 raw value: 0 | 0x0
Register 230 raw value: 0 | 0x0
Register 231 raw value: 0 | 0x0
Register 232 raw value: 0 | 0x0
Register 233 raw value: 0 | 0x0
Register 234 raw value: 0 | 0x0
Register 235 raw value: 0 | 0x0
Register 236 raw value: 0 | 0x0
Register 237 raw value: 0 | 0x0
Register 238 raw value: 0 | 0x0
Register 239 raw value: 0 | 0x0
Register 240 raw value: 0 | 0x0
Register 241 raw value: 0 | 0x0
Register 242 raw value: 0 | 0x0
Register 243 raw value: 0 | 0x0
Register 244 raw value: 0 | 0x0
Register 245 raw value: 0 | 0x0
Register 246 raw value: 0 | 0x0
Register 247 raw value: 0 | 0x0
Register 248 raw value: 0 | 0x0
Register 249 raw value: 0 | 0x0
Register 250 raw value: 0 | 0x0
Register 251 raw value: 0 | 0x0
Register 252 raw value: 0 | 0x0
Register 253 raw value: 0 | 0x0
Register 254 raw value: 0 | 0x0
Register 255 raw value: 0 | 0x0
Register 256 raw value: 0 | 0x0
Register 257 raw value: 0 | 0x0
Register 258 raw value: 0 | 0x0
Register 259 raw value: 0 | 0x0
Register 260 raw value: 0 | 0x0
Register 261 raw value: 0 | 0x0
Register 262 raw value: 0 | 0x0
Register 263 raw value: 0 | 0x0
Register 264 raw value: 0 | 0x0
